"topic","app","alias","alias","alias","alias","alias","alias","alias","alias","alias"
"topic6","app11","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"topic2","app1","0.8197014269811099","0.7005478758837583","0.6220397763155687","0.8827060801887378","0.48396431873970924","0.4438673286491034","0.4064174703889617","0.3412073395876057","0.34584411966460904"
"topic24","app14","0.543081336110558","0.4452880996209969","0.3801796770106421","0.5801919128624765","0.2841216289165495","0.2612989189350467","0.23564383452525683","0.19630582950542344","0.19448672666174466"
"topic24","app15","0.5442120341162748","0.4444458610958551","0.3785934984596602","0.5802731249414348","0.2849833446669659","0.2584189491853123","0.23602465338665665","0.1960818296446078","0.19259219326318028"
"topic11","app15","0.6375332171069409","0.5271925953930393","0.46189837835169456","0.680296572812251","0.35640901760329147","0.316989151995316","0.2893556351161344","0.24390088246810923","0.24674420000164268"
"topic8","app6","0.5393849122544385","0.446309876313998","0.3742150053731549","0.5694157706292537","0.2805839485558881","0.26380140601197793","0.23726978844452304","0.1965938528564045","0.19502127803028668"
"topic11","app12","0.6393232482472734","0.5333028328602922","0.45278450775965373","0.6780062468379837","0.3565230132640115","0.32144866647300285","0.2864967202044334","0.24812848804497956","0.24539035188080974"
"topic3","app3","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"topic9","app7","0.6324780607607615","0.526455518372298","0.4586958399503876","0.7054745021933286","0.35181823212127106","0.3201101656738889","0.2910340328484483","0.24614665295138266","0.2473794320424871"
"topic3","app2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"topic17","app10","0.6362917730661323","0.5305008441258688","0.4530334539838855","0.6724585011277993","0.3522781054046047","0.3207332453830518","0.2904838140917414","0.24703863096896866","0.24646355251596871"
"topic9","app8","0.6315471036763104","0.5248957436965331","0.45936673539295414","0.6936711169809787","0.35565808891130063","0.3184568769669664","0.29145235525665214","0.24618228752632246","0.24683799290300157"
"topic14","app16","0.7315089714726853","0.6190965817230945","0.5305684726863791","0.7581589331782339","0.424701126246957","0.37678305143082297","0.3469162784998547","0.297118993761798","0.29944276500840455"
"topic14","app1","0.7352484732983738","0.6147083022352636","0.5325445670580926","0.7584913529203015","0.41968132483869486","0.385282077192487","0.34273556293904617","0.2993494805749449","0.2973007119251819"
"topic14","app13","0.7321984077919979","0.6128160284697799","0.517226604290608","0.7573735649637493","0.41932023852583955","0.38485642560562017","0.34749199031133865","0.297240952361357","0.2967644998769856"
"topic2","app7","0.8272791926260664","0.6996505915466348","0.6095981638770329","0.8765619985250213","0.4829706926773554","0.44214111722374616","0.4047736656893238","0.34660334436814916","0.3396541307736688"
"topic10","app9","0.5368869527776952","0.44117677720698223","0.37583963070065995","0.5814609726803934","0.285119542230591","0.25980755019630697","0.23301624456575015","0.19510227853961104","0.19893689415319907"
"topic2","app9","0.8253158886127195","0.696622973739796","0.6202974654954673","0.8824462584344779","0.483978301934675","0.4454252709355927","0.4057255100104105","0.34771932504041403","0.34412077749905473"
"topic9","app2","0.6299095941050533","0.5303057850163839","0.4577958750950632","0.6875793051259962","0.3536795906544949","0.321969819624536","0.2916500918041598","0.24568758593000087","0.24761767386667088"
"topic17","app16","0.6405673716030488","0.5316188436103613","0.4507168567090503","0.6711615321638634","0.35660373925320005","0.31969391571815964","0.2908936377354351","0.24762617224795233","0.24573507375251324"
"topic1","app7","0.7285803669133238","0.597708757787006","0.5221398937889858","0.7704199469360516","0.41758791785213173","0.38214949263765446","0.3484302202991647","0.2953965298760357","0.29563782891170504"
"topic1","app5","0.7395193710222068","0.6090439525157004","0.5282361876118663","0.7812272497067689","0.41586039587662627","0.381376150261013","0.3435020960986411","0.2987803316945438","0.2970554887307723"
"topic20","app14","0.539406731535901","0.4404803747449432","0.3781663344155423","0.5813380137365292","0.2862356684297061","0.25619662919251696","0.2354862790028327","0.19268575378168049","0.2006181458459161"
"topic2","app15","0.8237552683183897","0.7063296354488323","0.6160407387664539","0.8801908017500625","0.48781475836055843","0.4399519865625454","0.40688708809294594","0.3471465420366646","0.34860556595890313"
"topic2","app13","0.8317740008441666","0.6988400194405228","0.6129759909502254","0.8752370980460688","0.4848561795613323","0.4480065844779665","0.4048517869020721","0.3468390114789635","0.3455147593050441"
"topic5","app14","0.6301391040577237","0.5303770155019584","0.4568992709864749","0.6684943438517409","0.3539236923760244","0.3179862974324126","0.2929503816412492","0.2477489651625029","0.2468314380771921"
"topic15","app15","0.5320090061319177","0.4394201199858877","0.37353678231850845","0.5863086079368797","0.2852852770814583","0.25938595314534607","0.23400954330975327","0.1962602828281905","0.19439019781316497"
"topic18","app12","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"topic26","app6","0.6222322358825499","0.5201810700632271","0.4616350167344194","0.6816802777107692","0.35708394224507556","0.3214358886836639","0.2902917748274901","0.24636903517661923","0.2477043294869559"
"topic29","app9","0.0","0.0","0.3712991162965741","0.0","0.0","0.0","0.0","0.0","0.0"
"topic23","app3","0.5447028961132987","0.44663368723661295","0.3751016020111251","0.5776651968871569","0.287033948511574","0.2572734727655868","0.2338611643963759","0.1943131215217261","0.19782766573813085"
"topic12","app2","0.6386237084505457","0.5292199660299941","0.4494227505241941","0.6897594993135375","0.3529942844663272","0.32151931278420826","0.2896247978015892","0.2489479187528182","0.24479955650919893"
"topic7","app5","0.6485619557837624","0.5294868689928667","0.4548480559204745","0.6877293599957564","0.36011586329279216","0.3200948227458819","0.2886415856735746","0.24729638937311077","0.2460921814563125"
"topic15","app6","0.5318679631779112","0.4409686512757772","0.3727675562319027","0.5870575153041325","0.28639489765826265","0.25711868053225845","0.23384840470795898","0.19755381626381377","0.195225108747123"
"topic12","app9","0.6419648601678776","0.5281202860219765","0.45426114113278865","0.6816684124431978","0.350619662164308","0.32064919841989953","0.2846570067979453","0.24700860919441214","0.24887779371482022"
"topic1","app3","0.7440295341424701","0.603809008009163","0.5272094497444171","0.7744793223330259","0.41344583298992804","0.3780009805786173","0.3485636246052612","0.2973716497795197","0.2954012069241734"
"topic4","app3","0.5329778864237597","0.44030242750055193","0.3772804452262517","0.5755250577467846","0.2928417448335923","0.26165922887896326","0.2348086739982548","0.19583027885174759","0.19916792960132848"
"topic7","app8","0.643477582277703","0.5287923851414945","0.4534734318919298","0.6888982184367246","0.3561598317636948","0.3248947688423767","0.29065100152972934","0.24473267485132524","0.24556960023558078"
"topic23","app13","0.544984471501855","0.44258362338664864","0.3752703577991208","0.5694606095521758","0.2853700286625747","0.2592004332164467","0.2370693150753224","0.19264282185757547","0.19696572987637923"
"topic1","app1","0.7435668025438796","0.6102969728937296","0.521587987048574","0.7724291372259393","0.4189403458299196","0.3774652828906338","0.3466659132965872","0.2957562272810113","0.296664586281607"
"topic20","app6","0.5329909725427084","0.4371027378460689","0.37616835603064847","0.5851809741364234","0.2870695843537572","0.25542431100849744","0.23827921246788814","0.19487964688584927","0.20332325187186298"
"topic18","app10","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"topic21","app8","0.6232589315556311","0.5346689537288841","0.450001681804315","0.6824804458700597","0.3520764798699222","0.31976908099989654","0.2933312633681801","0.2487785030279824","0.250510799576914"
"topic16","app16","0.6354819977099853","0.5298991334475773","0.4519283904356182","0.6792671003345837","0.3522453709077786","0.3213604817817914","0.29203561043906345","0.24689069266452937","0.24779110385489014"
"topic29","app11","0.0","0.0","0.3695883498732164","0.0","0.0","0.0","0.0","0.0","0.0"
"topic26","app11","0.6353431681558543","0.52014489866967","0.45437712217222853","0.6795251803950009","0.356175491775968","0.32575560210608784","0.29530401687367486","0.24840788507053718","0.24903017079588263"
"topic5","app6","0.6303743776121545","0.5289791313327882","0.4536349622800479","0.6693655096689729","0.35222843605820153","0.31653964553832964","0.293376203427894","0.24742035931502823","0.2473097453856109"
"topic26","app1","0.6174545916516695","0.524434040031985","0.45181862069736967","0.6804407352366217","0.35838251208263117","0.32447403990592627","0.29205368879757915","0.24558864914680772","0.2475829669143723"
"topic21","app4","0.6271929144940509","0.5330664139213762","0.4554406029342979","0.6759469662669093","0.3591219426996207","0.3179695575947704","0.29051874162963764","0.24789804878994967","0.24512892885111134"
"topic5","app4","0.6325612098771488","0.5308276890218422","0.4530052062013916","0.667486929942838","0.35220813066502227","0.31056709068804955","0.29403851325369423","0.24788690083403953","0.24576574012744054"
"topic21","app1","0.6202217606488012","0.525999453218456","0.4538129987676312","0.6778440652385529","0.35647224707019015","0.3204060878864835","0.2917418583975986","0.24949999199396491","0.251191659480154"
"topic12","app10","0.6399196569717357","0.5304317302401499","0.45144136427775916","0.6810553802876279","0.35385078924774416","0.327164257889928","0.29093053709376515","0.24872811678463416","0.24828359582688223"
"topic19","app13","0.6341730313373359","0.5245752340568639","0.45407920341442315","0.6726055990099281","0.3579893078719183","0.32063655491716075","0.2948462666315304","0.2473285274866983","0.24815157654237174"
"topic30","app7","0.6345721777338068","0.5276586450135626","0.4456552720936821","0.6789402863299855","0.35515285237621613","0.3192952845341724","0.2867310003913055","0.24560270562911374","0.24829146231376928"
"topic6","app4","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"topic8","app14","0.5395464576320437","0.44610745310043876","0.37301284431266163","0.5672131084201166","0.2872428172059056","0.2593056610332081","0.2349704829325748","0.19658061087263642","0.19436786893932198"
"topic28","app8","0.5438838058411661","0.4448534236047805","0.3815190293199727","0.5759456275195348","0.27935547062410854","0.2587457701636943","0.23455716395021592","0.1976834257243752","0.19480293817108935"
"topic11","app8","0.6385792840475963","0.5317041893652962","0.451038271818957","0.6783125636291931","0.3534896807093081","0.3146205834213645","0.2889750326347486","0.24675707598390226","0.2450128902471886"
"topic25","app7","0.5599797038600746","0.4441624785989859","0.3727008857026594","0.5634215749337131","0.29058338509726367","0.2594875093488306","0.23210571263794066","0.19885790842554324","0.19770844917099"
"topic22","app2","0.6346152854539888","0.5345993483742142","0.45023834017331615","0.6790940919596141","0.35372934522704474","0.320265289981363","0.29250250334774763","0.2474962511864445","0.24436810761367816"
"topic14","app5","0.7390170196659724","0.6134122672861687","0.5322814902326692","0.7853826080261003","0.4223433626348048","0.3782749729475836","0.3503097104245086","0.29692814542272683","0.30066041613195515"
"topic17","app7","0.656738470132059","0.5329606245855314","0.4558625045195889","0.6769340498563033","0.351880598612439","0.32089670538883386","0.2872778812078683","0.24674365844200136","0.24920990212815775"
"topic7","app12","0.6509559752775538","0.5323382875270835","0.4501599270226117","0.6862585883968116","0.35686577601519387","0.32008852009076116","0.28904567748643384","0.24669738796021026","0.24767058524834593"
"topic22","app5","0.6339880074264007","0.5329016076213624","0.4496148725111671","0.6804929887051072","0.35219637258387504","0.31480446505750026","0.2899494542200831","0.24607677700080227","0.24581646115708605"
"topic10","app11","0.5350656826376103","0.442561677971235","0.375925299755901","0.579118664912628","0.2859428818942989","0.2598029534375122","0.23612145053729575","0.19570030623334916","0.1963480895677211"
"topic22","app9","0.6324206440133532","0.5328707520508033","0.4494448680220204","0.6787111660473738","0.35372680905891796","0.31949509553543176","0.2922485263779531","0.24671351666631047","0.24541017628291092"
"topic30","app16","0.6349027691968195","0.526167071557309","0.4497003527829599","0.676235127507553","0.3477621494738328","0.32170874070802774","0.28916218256058906","0.24541142681477923","0.2481236877542728"
"topic30","app15","0.6273804864112197","0.5275550790619922","0.4507699934237976","0.6788865746819838","0.3559797014798679","0.32097794713880395","0.28793065659175576","0.24601685952293545","0.2479791263705804"
"topic25","app16","0.5616909406210674","0.44479862569511364","0.3739982232997566","0.5711459171981688","0.29374172664051273","0.25981451163702385","0.23561632394499066","0.19668597971515017","0.19533750684956971"
"topic19","app5","0.6319980547105561","0.5248695635380223","0.4545130707220055","0.6733295816561478","0.358390647951402","0.32059631366960323","0.29421788055557174","0.2491287828901679","0.24696829025297173"
"topic16","app4","0.6319533330003388","0.5259564365662702","0.4529674450186355","0.6777331317893803","0.35113988037963584","0.31995986742462135","0.2899169345424978","0.24854251168157937","0.247564753710072"
"topic16","app3","0.6323420111707574","0.5234166796569932","0.4541371664549883","0.6784785102894039","0.3542753816749249","0.31777414081860833","0.2916949000406262","0.2463641057333575","0.24965287559584726"
"topic4","app13","0.5332501668464767","0.4391796134452439","0.3752845420016505","0.5988693067431389","0.29161440151200757","0.2575326967165003","0.23494099954543526","0.19787114179296517","0.19722077606320018"
"topic28","app14","0.543177485125441","0.44601898095780407","0.3781480289213509","0.5808096094680817","0.29131672373756173","0.2601143287834657","0.23329892180640882","0.19672525639724253","0.19612126360631452"
"topic19","app2","0.6345025194820876","0.5262456047427312","0.455671109280831","0.6737952548204001","0.3541878680660659","0.3205148607096395","0.2961489246299046","0.24913983485375907","0.2490462692425408"
"topic27","app4","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"topic27","app3","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"topic13","app11","0.6352733259538695","0.5312985798063387","0.45762721265432427","0.6739586064479329","0.3551410382776507","0.31735752029059705","0.28900752558184273","0.24857414477471726","0.24610687225827682"
"topic13","app10","0.638001148873483","0.5226683285590848","0.4538980612845077","0.6853851799582691","0.35659778473044085","0.3174905068771671","0.3026168710532088","0.24573009818317035","0.24775141764673306"
"topic13","app12","0.6363580705998994","0.5266494709286293","0.45652332987447053","0.6861108672617244","0.35346288689095223","0.3170567516656393","0.29192877824042524","0.24700004643202814","0.24876878729099466"
